modelo_id,modelo,factor,grupo,dominio,descripcion,pregunta_guia,canal_descriptivo,terminos,terminos_legibles,rezagos_modelo,n_terminos,es_compuesto,coeficiente,coeficientes_terminos,signos_terminos,p_valor_hac,ic_95_inferior,ic_95_superior,ic95_cruza_cero,p_valor_menor_05,estado_inferencia,contribucion_media_mensual_pct,contribucion_mediana_mensual_pct,contribucion_abs_media_mensual_pct,meses_contribucion_positiva_pct,ultima_contribucion_mensual_pct,participacion_shapley_r2_pct,aporte_shapley_r2_pp,ic95_shapley_inferior_pct,ic95_shapley_superior_pct,probabilidad_shapley_top3_pct,advertencia_interpretacion,estabilidad_signo_factor_pct_submuestras,estabilidad_signos_terminos_pct_submuestras,estabilidad_signos_terminos_pct_2020_en_adelante,peso_entre_factores_pct_2020_en_adelante,lectura_dinamica
marco_macro_integral,Marco macroeconómico integral,Términos de intercambio,Sector externo Colombia,Sector externo,Precios relativos de exportaciones e importaciones de Colombia.,¿Cómo se movieron los precios relativos externos junto con la TRM?,Señal de ingresos externos y condiciones comerciales; puede recoger otros cambios simultáneos.,D.ln_terminos_intercambio.L0,"cambio logarítmico de términos de intercambio, contemporáneo",0 (contemporáneo),1,False,0.014818866001054226,"D.ln_terminos_intercambio.L0=0,0148","cambio logarítmico de términos de intercambio, contemporáneo: positivo",0.7322280693083241,-0.07044995940438632,0.10008769140649477,True,False,Coeficiente único con inferencia HAC,0.0018803936091131045,0.004028712448390302,0.04813590713898979,54.166666666666664,0.04059327443685265,4.145946780477792,2.76751447974709,1.7279543618187807,6.775792842473829,0.0,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,50.0,50.0,100.0,2.226135026500338,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM mayor; coeficiente 0,0148 y 0 (contemporáneo). El IC95% cruza cero, por lo que la dirección es imprecisa en esta muestra. Su contribución contable media fue 0.002% de Δln TRM y fue positiva en 54.2% de los meses. En 2020 en adelante coincidieron los signos de 100.0% de sus términos con los de la muestra completa. Señal económica: Señal de ingresos externos y condiciones comerciales; puede recoger otros cambios simultáneos. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
marco_macro_integral,Marco macroeconómico integral,Remesas,Sector externo Colombia,Sector externo,"Remesas recibidas, agregadas en una ventana móvil de 12 meses.",¿Qué relación histórica hubo entre la variación de remesas y la variación de la TRM?,Señal de flujos de divisas de hogares y de actividad externa.,D.ln_remesas_12m.L1,"cambio logarítmico de remesas de 12 meses, rezago 1",1,1,False,0.1970442492906992,"D.ln_remesas_12m.L1=0,1970","cambio logarítmico de remesas de 12 meses, rezago 1: positivo",0.05711729586482679,-0.006015771222591115,0.4001042698039895,True,False,Coeficiente único con inferencia HAC,0.11115179953380887,0.13464901820685898,0.2060987496131201,74.58333333333333,0.2028410002443707,1.1714427716195512,0.7819648934998038,0.20724406122868233,2.896495132492546,0.0,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,100.0,100.0,100.0,2.9360090537372523,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM mayor; coeficiente 0,1970 y 1. El IC95% cruza cero, por lo que la dirección es imprecisa en esta muestra. Su contribución contable media fue 0.111% de Δln TRM y fue positiva en 74.6% de los meses. En 2020 en adelante coincidieron los signos de 100.0% de sus términos con los de la muestra completa. Señal económica: Señal de flujos de divisas de hogares y de actividad externa. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
marco_macro_integral,Marco macroeconómico integral,Diferencial de tasas,Política doméstica,Política doméstica,Diferencial de tasas de interés entre Colombia y Estados Unidos.,¿Cómo coincidieron los cambios relativos de tasas con la TRM?,Señal de condiciones monetarias relativas y de valoración financiera.,D.diferencial_tasas_pp.L1,"cambio del diferencial de tasas, rezago 1",1,1,False,0.003448605905072612,"D.diferencial_tasas_pp.L1=0,0034","cambio del diferencial de tasas, rezago 1: positivo",0.5263794274599927,-0.007264785625180564,0.014161997435325788,True,False,Coeficiente único con inferencia HAC,0.00747197946099066,0.0,0.06865506884888913,45.0,0.012316449660973875,0.18337283122646772,0.12240556680589718,0.1317703570102625,1.7649940236273551,0.0,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,50.0,50.0,100.0,0.8093149674692043,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM mayor; coeficiente 0,0034 y 1. El IC95% cruza cero, por lo que la dirección es imprecisa en esta muestra. Su contribución contable media fue 0.007% de Δln TRM y fue positiva en 45.0% de los meses. En 2020 en adelante coincidieron los signos de 100.0% de sus términos con los de la muestra completa. Señal económica: Señal de condiciones monetarias relativas y de valoración financiera. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
marco_macro_integral,Marco macroeconómico integral,Déficit fiscal,Política doméstica,Política doméstica,Cambio del déficit fiscal acumulado como proporción del PIB.,¿Qué asociación histórica aparece entre la posición fiscal y la TRM?,"Señal de condiciones fiscales y percepción de riesgo, potencialmente correlacionada con el ciclo.",D.deficit_fiscal_12m_pct_pib.L1,"cambio del déficit fiscal de 12 meses sobre PIB, rezago 1",1,1,False,-0.00012279767694829084,"D.deficit_fiscal_12m_pct_pib.L1=-0,0001","cambio del déficit fiscal de 12 meses sobre PIB, rezago 1: negativo",0.9713630497066116,-0.0068584498652323545,0.006612854511335773,True,False,Coeficiente único con inferencia HAC,-0.00010920591893120474,-0.00012888569362326204,0.0039332431757934825,48.75,0.0031846508863193476,0.08516755633712668,0.05685129545741805,0.043901315906085536,1.2467068230441372,0.0,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,50.0,50.0,0.0,1.376193542959035,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM menor; coeficiente -0,0001 y 1. El IC95% cruza cero, por lo que la dirección es imprecisa en esta muestra. Su contribución contable media fue -0.000% de Δln TRM y fue positiva en 48.8% de los meses. En 2020 en adelante coincidieron los signos de 0.0% de sus términos con los de la muestra completa. Señal económica: Señal de condiciones fiscales y percepción de riesgo, potencialmente correlacionada con el ciclo. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
marco_macro_integral,Marco macroeconómico integral,Dólar amplio,Mercados financieros globales,Mercados financieros globales,Índice amplio del dólar estadounidense frente a otras monedas.,¿Cómo se movió el dólar global en los meses de variación de la TRM?,Señal agregada de valoración internacional del dólar.,D.ln_dolar_amplio.L0,"cambio logarítmico del dólar amplio, contemporáneo",0 (contemporáneo),1,False,0.20246635842036959,"D.ln_dolar_amplio.L0=0,2025","cambio logarítmico del dólar amplio, contemporáneo: positivo",0.27463380944408217,-0.16194551458646878,0.566878231427208,True,False,Coeficiente único con inferencia HAC,0.014917295360701644,-0.0032081280080358977,0.21205429968897144,49.166666666666664,-0.14972386212111682,15.11011650726115,10.086349014757873,8.735503486927673,20.851821787807243,57.99999999999999,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,100.0,100.0,100.0,9.558439139487653,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM mayor; coeficiente 0,2025 y 0 (contemporáneo). El IC95% cruza cero, por lo que la dirección es imprecisa en esta muestra. Su contribución contable media fue 0.015% de Δln TRM y fue positiva en 49.2% de los meses. En 2020 en adelante coincidieron los signos de 100.0% de sus términos con los de la muestra completa. Señal económica: Señal agregada de valoración internacional del dólar. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
marco_macro_integral,Marco macroeconómico integral,VIX,Mercados financieros globales,Mercados financieros globales,Índice de volatilidad implícita del mercado accionario estadounidense.,¿Qué asociación tuvo la aversión a la volatilidad con la TRM?,Señal de tensión y volatilidad financiera internacional.,D.ln_vix.L0,"cambio logarítmico del VIX, contemporáneo",0 (contemporáneo),1,False,0.01655872488758233,"D.ln_vix.L0=0,0166","cambio logarítmico del VIX, contemporáneo: positivo",0.1121294860112298,-0.003902372889830606,0.03701982266499527,True,False,Coeficiente único con inferencia HAC,0.0035475497675071356,-0.02314063196100536,0.22207376220663588,45.416666666666664,-0.42420977030732093,6.100133627012108,4.071978979721148,2.4263630747180422,9.265681140269917,0.0,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,75.0,75.0,0.0,4.847884891671784,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM mayor; coeficiente 0,0166 y 0 (contemporáneo). El IC95% cruza cero, por lo que la dirección es imprecisa en esta muestra. Su contribución contable media fue 0.004% de Δln TRM y fue positiva en 45.4% de los meses. En 2020 en adelante coincidieron los signos de 0.0% de sus términos con los de la muestra completa. Señal económica: Señal de tensión y volatilidad financiera internacional. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
marco_macro_integral,Marco macroeconómico integral,Riesgo soberano EMBIG Colombia,Riesgo local,Riesgo local,Prima EMBIG de Colombia expresada en puntos porcentuales.,¿Cómo coincidieron los cambios en la prima soberana con la TRM?,Señal de riesgo soberano percibido y condiciones de financiamiento externo.,D.embig_colombia_pp.L0,"cambio del EMBIG Colombia, contemporáneo",0 (contemporáneo),1,False,0.027788934861703727,"D.embig_colombia_pp.L0=0,0278","cambio del EMBIG Colombia, contemporáneo: positivo",0.010377291388959056,0.0066086212639146664,0.048969248459492784,False,True,Coeficiente único con inferencia HAC,0.008223524757843192,-0.05190876793430759,0.5152690076089592,45.83333333333333,-0.9877703209932871,14.119944248918237,9.42538634265814,8.319113090382787,20.686179773123904,42.0,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,100.0,100.0,100.0,14.94428199319559,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM mayor; coeficiente 0,0278 y 0 (contemporáneo). El IC95% no cruza cero al 5% en la inferencia HAC. Su contribución contable media fue 0.008% de Δln TRM y fue positiva en 45.8% de los meses. En 2020 en adelante coincidieron los signos de 100.0% de sus términos con los de la muestra completa. Señal económica: Señal de riesgo soberano percibido y condiciones de financiamiento externo. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
marco_macro_integral,Marco macroeconómico integral,Reservas internacionales,Sector externo Colombia,Sector externo,"Reservas internacionales netas sin FLAR, en logaritmos.",¿Qué asociación histórica tuvo la variación de reservas con la TRM?,Señal de liquidez externa y de operaciones que pueden responder a la propia dinámica cambiaria.,D.ln_reservas_netas_sin_flar.L1,"cambio logarítmico de reservas netas sin FLAR, rezago 1",1,1,False,-0.23794188629798602,"D.ln_reservas_netas_sin_flar.L1=-0,2379","cambio logarítmico de reservas netas sin FLAR, rezago 1: negativo",0.04868559469112759,-0.47449846921649264,-0.001385303379479369,False,True,Coeficiente único con inferencia HAC,-0.14679611010039967,-0.10995566714695096,0.22152277863586942,30.416666666666664,0.2886827469904226,1.943428699846345,1.297283190538444,0.4089488305260636,5.402356600853766,0.0,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,100.0,100.0,100.0,1.1891020719762802,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM menor; coeficiente -0,2379 y 1. El IC95% no cruza cero al 5% en la inferencia HAC. Su contribución contable media fue -0.147% de Δln TRM y fue positiva en 30.4% de los meses. En 2020 en adelante coincidieron los signos de 100.0% de sus términos con los de la muestra completa. Señal económica: Señal de liquidez externa y de operaciones que pueden responder a la propia dinámica cambiaria. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
marco_macro_integral,Marco macroeconómico integral,Balanza comercial cambiaria,Sector externo Colombia,Sector externo,Balanza comercial cambiaria transformada con asinh.,¿Cómo se movió el saldo comercial cambiario junto con la TRM?,Señal de flujos comerciales; la transformación asinh conserva el signo y reduce la influencia de extremos.,D.asinh_balanza_comercial.L1,"cambio de asinh de la balanza comercial cambiaria, rezago 1",1,1,False,0.054731030786106014,"D.asinh_balanza_comercial.L1=0,0547","cambio de asinh de la balanza comercial cambiaria, rezago 1: positivo",5.637021369215715e-06,0.03158007607993209,0.07788198549227994,False,True,Coeficiente único con inferencia HAC,0.01452995873454879,-0.05472444032812592,0.580597918920132,48.75,-1.113756743455136,6.360202501218162,4.245580912694788,3.063497839150129,9.504775426719103,0.0,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,100.0,100.0,100.0,3.075030020542104,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM mayor; coeficiente 0,0547 y 1. El IC95% no cruza cero al 5% en la inferencia HAC. Su contribución contable media fue 0.015% de Δln TRM y fue positiva en 48.8% de los meses. En 2020 en adelante coincidieron los signos de 100.0% de sus términos con los de la muestra completa. Señal económica: Señal de flujos comerciales; la transformación asinh conserva el signo y reduce la influencia de extremos. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
marco_macro_integral,Marco macroeconómico integral,Flujos netos de capital,Sector externo Colombia,Sector externo,Flujos netos de capital de la balanza cambiaria transformados con asinh.,¿Qué relación histórica tuvieron los flujos de capital y la TRM?,Señal de entradas y salidas de capital que también pueden reaccionar a la TRM.,D.asinh_flujos_capital.L1,"cambio de asinh de flujos netos de capital, rezago 1",1,1,False,0.0005988483463286011,"D.asinh_flujos_capital.L1=0,0006","cambio de asinh de flujos netos de capital, rezago 1: positivo",0.837998937061961,-0.005168417595767704,0.006366114288424906,True,False,Coeficiente único con inferencia HAC,-0.0005086756815144371,-0.0005656725163983856,0.01979178864259911,49.583333333333336,-0.018354922762322607,3.2885507943211114,2.1951830118809745,1.386128146332579,6.017419280043904,0.0,Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual.,50.0,50.0,100.0,1.2140330021881334,"En la ecuación de variación mensual, un aumento del regresor se asocia con una variación mensual de la TRM mayor; coeficiente 0,0006 y 1. El IC95% cruza cero, por lo que la dirección es imprecisa en esta muestra. Su contribución contable media fue -0.001% de Δln TRM y fue positiva en 49.6% de los meses. En 2020 en adelante coincidieron los signos de 100.0% de sus términos con los de la muestra completa. Señal económica: Señal de entradas y salidas de capital que también pueden reaccionar a la TRM. Asociación histórica parcial; no es un efecto causal ni un escenario contrafactual."
